2025-04-20 10:24:06 INFO  Utils:112 - [TestNG] Running:
  E:\TestSpace-2\TestE2E\master.xml

2025-04-20 10:24:20 INFO  TC001_AccountRegistrationTest:16 - ***** Starting TC001_AccountRegistrationTest  ****
2025-04-20 10:24:20 INFO  TC001_AccountRegistrationTest:22 - Clicked on MyAccount Link.. 
2025-04-20 10:24:21 INFO  TC001_AccountRegistrationTest:25 - Clicked on Register Link.. 
2025-04-20 10:24:21 INFO  TC001_AccountRegistrationTest:29 - Providing customer details...
2025-04-20 10:24:24 INFO  TC001_AccountRegistrationTest:43 - Validating expected message..
2025-04-20 10:24:24 INFO  TC001_AccountRegistrationTest:48 - Test passed
2025-04-20 10:24:24 INFO  TC001_AccountRegistrationTest:57 - ***** Finished TC001_AccountRegistrationTest *****
2025-04-20 10:25:08 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:25:20 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:25:26 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
2025-04-20 10:25:27 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:25:34 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
2025-04-20 10:25:34 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:25:48 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
2025-04-20 10:25:48 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:25:55 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
2025-04-20 10:25:55 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:26:10 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
2025-04-20 10:44:31 INFO  TC001_AccountRegistrationTest:16 - ***** Starting TC001_AccountRegistrationTest  ****
2025-04-20 10:44:31 INFO  TC001_AccountRegistrationTest:22 - Clicked on MyAccount Link.. 
2025-04-20 10:44:32 INFO  TC001_AccountRegistrationTest:25 - Clicked on Register Link.. 
2025-04-20 10:44:32 INFO  TC001_AccountRegistrationTest:29 - Providing customer details...
2025-04-20 10:44:35 INFO  TC001_AccountRegistrationTest:43 - Validating expected message..
2025-04-20 10:44:35 INFO  TC001_AccountRegistrationTest:48 - Test passed
2025-04-20 10:44:35 INFO  TC001_AccountRegistrationTest:57 - ***** Finished TC001_AccountRegistrationTest *****
2025-04-20 10:44:42 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:44:54 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:45:00 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
2025-04-20 10:45:00 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:45:09 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
2025-04-20 10:45:09 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:45:24 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
2025-04-20 10:45:24 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:45:31 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
2025-04-20 10:45:31 INFO  TC003_LoginDDT:24 - ***** stating TC_003_LoginDDT ******
2025-04-20 10:45:45 INFO  TC003_LoginDDT:77 - ***** Finished TC_003_LoginDDT ******
